name,ring,quadrant,isNew,description
Turbo,Trial,Dependencies,,
Mercure,Assess,Dependencies,,
Tech Diagrams,Adopt,Platforms,,
CoPilot,Assess,Dependencies,,
GitHub Actions,Adopt,Platforms,,
Team Visibility,Assess,Techniques,,Make the invisible visible
Metrics,Trial,Techniques,,
Pairing,Trial,Techniques,,
Trunk Based Development,Assess,Techniques,,
Design System,Trial,Platforms,,
AWS Cloud Logs,Assess,Tools,,
MDM,Adopt,Platforms,,
JIRA Deployment Integration,Adopt,Tools,,
Squash Merge,Hold,Techniques,,
Continuous Deployment,Trial,Techniques,,
Zu Demo Site,Trial,Platforms,,
Automated Testing,Adopt,Techniques,,
Manual Testing,Assess,Techniques,,
Panther,Trial,Dependencies,,
TDD,Assess,Techniques,,
User Stories,Adopt,Techniques,,
Estimation Enhancements,Trial,Techniques,,
HTMX,Assess,Dependencies,,
Earlier Tech Involvement,Adopt,Techniques,,
Project vs Team,Adopt,Techniques,,
Communities of Practice,Trial,Techniques,,Change is a social activity. Share knowledge with others.
Pantheon,Trial,Platforms,,
Terraform,Assess,Platforms,,
ChatGPT,Trial,Tools,,
AI,Assess,Techniques,,
Acquia,Trial,Platforms,,
Feature Flags,Assess,Techniques,,
Onboarding Enhancements,Trial,Techniques,,
Career Paths,Adopt,Techniques,,
IDP,Assess,Platforms,,
Autonomy,Assess,Techniques,,
Asset Mapper,Assess,Dependencies,,
Vercel,Assess,Platforms,,
Speed,Adopt,Techniques,,
Cloud IDE,Assess,Platforms,,
Cloud Envs for Local,Assess,Platforms,,devzero.io
Flow Blockers,Assess,Techniques,,
Experiments,Trial,Techniques,,
PaperTrail,Assess,Tools,,Logs?
FigJam,Trial,Tools,,
CyberArk,Trial,Tools,,
Headless CMS,Assess,Techniques,,
Drupal Contributions,Assess,Techniques,,
Tailwind,Trial,Tools,,
Cypress,Adopt,Dependencies,,
Symfony,Adopt,Dependencies,,
Drupal,Adopt,Platforms,,
Kentico (or +X),Adopt,Platforms,,
GitHub,Adopt,Platforms,,
JIRA,Adopt,Platforms,,
Confluence,Adopt,Platforms,,
BitWarden,Adopt,Tools,,
NPM,Adopt,Dependencies,,
Gulp,Adopt,Dependencies,,
Webpack,Adopt,Dependencies,,
Docker,Adopt,Platforms,,
MySQL,Adopt,Platforms,,
PHP,Adopt,Dependencies,,
JavaScript,Adopt,Dependencies,,
TypeScript,Adopt,Dependencies,,
Template Repo,Adopt,Techniques,,
Grumphp,Adopt,Tools,,
PHPCS,Adopt,Tools,,
Vue,Adopt,Dependencies,,
Agility,Adopt,Techniques,,
Speed,Adopt,Techniques,,
Visibility,Adopt,Techniques,,
Flow,Adopt,Techniques,,
